session,total_bytes,packet_count,avg_duration,avg_bytes_per_second,avg_packets_per_second,percentage
192.168.1.25:60870-192.168.1.1:53-TCP,20592,336,0.201443,2129.6346857423687,34.74928391654215,97.59974099437586
192.168.1.25:62450-192.168.1.1:53-TCP,20280,286,0.10308,7566.938300349242,106.71323244082265,97.59803126013765
192.168.1.25:62327-192.168.1.1:53-TCP,24192,351,1.1929819999999998,751.0591106990718,10.897062990053497,97.5924467606876
192.168.1.25:64736-69.173.144.137:443-TCP,22044,334,0.057824,2282.7891532927506,34.587714443829555,97.53739755391952
192.168.1.25:60079-192.168.1.1:53-TCP,21021,343,0.16483499999999998,2602.6026026026025,42.466709133375794,97.5367333082694
192.168.1.25:62453-192.168.1.1:53-TCP,19916,286,0.096741,7918.049224217241,113.70566771069144,97.53658924097353
192.168.1.25:62462-192.168.1.1:53-TCP,19812,286,0.08157,9341.669731518941,134.85350006129704,97.51643272159001
192.168.1.25:62381-192.168.1.1:53-TCP,23112,297,0.125781,6805.47936492793,87.45358996986826,97.46720785933343
192.168.1.25:60080-192.168.1.1:53-TCP,21021,343,0.19989,2146.1803992195705,35.01926059332633,97.4470119553323
192.168.1.25:62641-192.168.1.1:53-TCP,20136,288,0.107026,7839.216638947546,112.12228804215799,97.44357871483773
192.168.1.25:60326-192.168.1.1:53-TCP,21462,343,0.197222,2220.8475727859973,35.492997738589,97.43816552698974
192.168.1.25:62326-192.168.1.1:53-TCP,23490,351,1.144476,760.1732146414605,11.358910103837912,97.42329507595846
192.168.1.25:62298-192.168.1.1:53-TCP,22950,297,0.123351,6890.90481633712,89.17641527024507,97.3968035652823
192.168.1.25:62480-192.168.1.1:53-TCP,20774,286,0.083893,9524.03657039324,131.11940209552645,97.3818978668919
192.168.1.25:62321-192.168.1.1:53-TCP,22896,324,0.611481,1386.7969732501908,19.624485470521567,97.36904808727552
192.168.1.25:58935-192.168.1.1:53-TCP,22134,357,0.126949,3418.695696697099,55.140253172533846,97.35475141062065
192.168.1.25:61480-35.214.136.108:443-TCP,12672,192,2.419482,109.114264954234,1.6532464387005152,97.32195586881994
192.168.1.25:62383-192.168.1.1:53-TCP,23112,297,0.164986,5188.319008885603,66.67232371231499,97.31929384569177
192.168.1.25:62342-192.168.1.1:53-TCP,29079,297,0.189294,5689.562268217694,58.1106638350925,97.30727671329011
192.168.1.25:62310-192.168.1.1:53-TCP,22896,297,0.09421800000000001,9000.403319960093,116.75051476363329,97.29895628615348
192.168.1.25:62384-192.168.1.1:53-TCP,25434,351,1.156712,814.3773039442834,11.238752602203487,97.2723338677722
192.168.1.25:62849-192.168.1.1:53-TCP,12818,187,0.071006,10618.820944708898,154.9164859307664,97.25645319357344
192.168.1.25:62312-192.168.1.1:53-TCP,22896,297,0.091575,9260.16926016926,120.12012012012012,97.24164867975024
192.168.1.25:61814-192.168.1.1:53-TCP,20398,329,0.105287,4122.066351971278,66.48494116082706,97.23385120938782
192.168.1.25:62400-192.168.1.1:53-TCP,21465,297,0.087812,9053.43233271079,125.26761718216189,97.21883804336655
192.168.1.25:61584-3.146.161.209:443-TCP,12606,191,3.1492754791666666,84.51231545201121,1.280489628060776,97.19361425319191
192.168.1.25:62307-192.168.1.1:53-TCP,20142,297,0.075938,9823.803629276514,144.85501330032395,97.17362217346647
192.168.1.25:62440-192.168.1.1:53-TCP,19197,297,0.081149,8761.660648929746,135.55311833787232,97.16522188404497
192.168.1.25:62340-192.168.1.1:53-TCP,21357,324,0.183107,4319.878540962388,65.53545194886051,97.14339665407537
192.168.1.25:62698-192.168.1.1:53-TCP,21456,288,0.083522,10703.766672254016,143.67472043293984,97.11050741890823
192.168.1.25:62388-192.168.1.1:53-TCP,19386,297,0.099482,7217.386059789711,110.57276693271145,97.0912791209588
192.168.1.25:62309-192.168.1.1:53-TCP,20061,297,0.095389,7789.158079023787,115.31727977020411,97.0912791209588
192.168.1.25:61306-192.168.1.1:53-TCP,21120,336,1.173867,374.8295164614049,5.963196852795078,97.08317750018313
192.168.1.25:62404-192.168.1.1:53-TCP,21978,297,0.11429100000000002,7122.170599609767,96.24554864337524,97.07762132408685
192.168.1.25:62294-192.168.1.1:53-TCP,20358,297,0.079366,9500.289796638359,138.5983922586498,97.0768680918939
192.168.1.25:62382-192.168.1.1:53-TCP,29457,297,0.154685,7053.04328150758,71.11226040016808,97.06794803864292
192.168.1.25:62313-192.168.1.1:53-TCP,22329,297,0.087852,9413.559167691117,125.21058143240906,97.06657831623791
192.168.1.25:62297-192.168.1.1:53-TCP,29295,297,0.121802,8907.899706080361,90.31050393261195,97.0626361908509
192.168.1.25:62406-192.168.1.1:53-TCP,21897,297,0.106251,7632.86933770035,103.5284373794129,97.06258582287388
192.168.1.25:60085-192.168.1.1:53-TCP,20972,343,0.124562,3436.039883752669,56.196913986609076,97.05177033204308
192.168.1.25:59857-192.168.1.1:53-UDP,17904,96,0.026039999999999997,14324.116743471583,76.80491551459293,97.02865110932646
192.168.1.25:59288-185.106.33.48:443-TCP,13200,200,3.168172,83.3288091681891,1.2625577146695317,96.98174785636996
192.168.1.25:59295-185.106.33.48:443-TCP,13200,200,3.205416,82.36060467658488,1.2478879496452255,96.98174785636996
